Adnams Suffolk Special Bitter 	(Special) Best Bitter 	United Kingdom - Suffolk 	5254 	14½ 	2004-03-23
Adnams Suffolk Special Bitter 	(Special) Best Bitter 	United Kingdom - Suffolk 	6645 	16½ 	2007-10-06
English Ales Triple B Borthwick's Best Bitter 	(Special) Best Bitter 	United States - California 	7403 	16 	2008-10-03
Dick's Best Bitter 	(Special) Best Bitter 	United States - Washington 	5711 	15½ 	2005-06-04
Coopers Coopers Original Pale Ale 	(Special) Best Bitter 	Australia - South Australia 	7508 	16 	2008-10-27
McMenamins (Mill Creek) Nebraska Bitter 	(Special) Best Bitter 	United States - Washington 	5970 	16 	2006-04-11
Elysian (TangleTown) Warminster Special Bitter 	(Special) Best Bitter 	United States - Washington 	5999 	18 	2006-04-13
Central City Boomers Red Ale 	(Special) Best Bitter 	Canada - British Columbia 	6104 	17 	2006-09-21
Wychwood Wychcraft 	(Special) Best Bitter 	United Kingdom - Oxford 	6225 	16 	2006-12-22
Morland Tanners Jack 	(Special) Best Bitter 	United Kingdom - Oxford 	6576 	16 	2007-07-08
Faultline (Sunnyvale) Best Bitter 	(Special) Best Bitter 	United States - California 	6412 	17 	2007-03-29
Firehouse (Sunnyvale) Bitter 	(Special) Best Bitter 	United States - California 	6428 	16 	2007-03-29
Coniston Premium XB Bluebird Bitter 	(Special) Best Bitter 	United Kingdom - Cumbria 	6527 	16 	2007-05-25
Tomos Watkin OSB / Old Style Bitter Bottle 	(Special) Best Bitter 	United Kingdom - Wales 	6710 	13½ 	2007-11-24
Coniston Bluebird Bitter 	(Special) Best Bitter 	United Kingdom - Cumbria 	7001 	17 	2008-05-10
Carlsberg UK Tetley's English Ale 	(Special) Best Bitter 	United Kingdom - West Yorkshire 	6833 	18 	2008-01-19
Ridgeway Bitter 	(Special) Best Bitter 	United Kingdom - Oxford 	6814 	17 	2008-01-12
Hook Norton Hook Norton Hooky Gold 	(Special) Best Bitter 	United Kingdom - Oxford 	7004 	17 	2008-05-10
Frog & Rosbif Inseine 	(Special) Best Bitter 	France - Île-de-France 	7332 	15½ 	2008-09-13
Chameleon Hop on Top 	(Special) Best Bitter 	United States - Wisconsin 	8300 	15 	2010-09-15
Ridgeway Oxfordshire Blue 	(Special) Best Bitter 	United Kingdom - Oxford 	8281 	15½ 	2010-08-10
Central Waters Shine On 	(Special) Best Bitter 	United States - Wisconsin 	8616 	16 	2011-08-10
Scriptown Blackstone Bitter 	(Special) Best Bitter 	United States - Nebraska 	9776 	17 	2017-07-31
Coast Range Cream Ale 	American Lager/Ale or Cream Ale 	United States - California 	1125 	14½ 	1995-08-11
North Coast Scrimshaw Pilsner Style Beer 	American Lager/Ale or Cream Ale 	United States - California 	259 	14½ 	1993-08-19
North Coast Scrimshaw Pilsner Style Beer 	American Lager/Ale or Cream Ale 	United States - California 	1188 	15½ 	1995-09-09
North Coast Scrimshaw Pilsner Style Beer 	American Lager/Ale or Cream Ale 	United States - California 	1538 	15 	1996-07-06
North Coast Scrimshaw Pilsner Style Beer 	American Lager/Ale or Cream Ale 	United States - California 	5096 	16 	2003-08-29
Willett's Ace High Cream Ale 	American Lager/Ale or Cream Ale 	United States - California 	53 	11½ 	1993-05-25
Belmont Marathon Pale Ale 	American Lager/Ale or Cream Ale 	United States - California 	958 	13 	1995-05-08
Riverside Raincross Cream Ale 	American Lager/Ale or Cream Ale 	United States - California 	1316 	12 	1996-02-15
Coeur D'Alene Creme Ale 	American Lager/Ale or Cream Ale 	United States - Idaho 	532 	15 	1994-10-21
Golden City Cream Ale 	American Lager/Ale or Cream Ale 	United States - Colorado 	500 	11½ 	1994-10-21
Hudepohl-Schoenling Little Kings Cream Ale 	American Lager/Ale or Cream Ale 	United States - Ohio 	1343 	16 	1996-04-04
Rogue Honey Cream Ale 	American Lager/Ale or Cream Ale 	United States - Oregon 	1879 	14 	1996-10-09
Schell Not Guilty 1924 Deer Brand 	American Lager/Ale or Cream Ale 	United States - Minnesota 	1907 	16 	2009-04-23
Aloha Bruddah's Cream Ale 	American Lager/Ale or Cream Ale 	United States - Hawaii 	2105 	15½ 	1997-08-08
Beach Chalet Endless Summer Cream Ale 	American Lager/Ale or Cream Ale 	United States - California 	2197 	15 	1997-09-05
ThirstyBear Polar Ale 	American Lager/Ale or Cream Ale 	United States - California 	2204 	13½ 	1997-09-05
Hoffbrau (Addison) Yellow Rose Cream Ale 	American Lager/Ale or Cream Ale 	United States - Texas 	1938 	14 	1997-10-11
Hoffbrau (Dallas) Yellow Rose Cream Ale 	American Lager/Ale or Cream Ale 	United States - Texas 	2314 	15 	1997-10-12
Golden Gate Park Four Sheets Cream Ale 	American Lager/Ale or Cream Ale 	United States - California 	2408 	15½ 	1998-02-28
Titletown (Dousman) Old Broadway Cream Ale 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	2846 	16½ 	1998-06-07
C.B. & Potts (Cheyenne) Big Horn Light 	American Lager/Ale or Cream Ale 	United States - Wyoming 	2919 	12½ 	1998-06-26
Gray Cream Ale 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	2982 	17½ 	1998-07-20
Rail House Silver Cream 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	3085 	16 	1998-10-17
Genesee Cream Ale 	American Lager/Ale or Cream Ale 	United States - New York 	3225 	14 	1999-03-27
Genesee Cream Ale 	American Lager/Ale or Cream Ale 	United States - New York 	7699 	15 	2009-02-13
Agassiz Catfish Cream Ale 	American Lager/Ale or Cream Ale 	Canada - Manitoba 	3475 	15½ 	2000-07-06
Stout Brothers The Yank Cream Ale 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	3514 	16 	2000-08-25
Bull & Bush Cream 	American Lager/Ale or Cream Ale 	United States - Colorado 	3602 	12½ 	2000-10-06
Miller (Tumwater) Henry Weinhard's Ale 	American Lager/Ale or Cream Ale 	United States - Washington 	3692 	14 	2000-10-07
Govnor's Celtic Cream Ale 	American Lager/Ale or Cream Ale 	United States - Illinois 	4015 	14½ 	2001-12-08
Govnor's American Cream Ale 	American Lager/Ale or Cream Ale 	United States - Illinois 	4021 	10½ 	2001-12-08
Thunderhead (Kearney) Cream Ale 	American Lager/Ale or Cream Ale 	United States - Nebraska 	5076 	15 	2003-08-12
Mission Springs Cream Ale 	American Lager/Ale or Cream Ale 	Canada - British Columbia 	6056 	13½ 	2006-09-17
Steamworks (Vancouver) Cascadia Cream Ale 	American Lager/Ale or Cream Ale 	Canada - British Columbia 	6068 	15½ 	2006-09-18
Lagunitas Sirius 	American Lager/Ale or Cream Ale 	United States - California 	5260 	16 	2004-03-31
Oggi's (Vista) California Gold 	American Lager/Ale or Cream Ale 	United States - California 	5296 	15 	2004-04-14
South Shore Cream Ale 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	5554 	15½ 	2005-01-08
Fitger's Lighthouse Ale 	American Lager/Ale or Cream Ale 	United States - Minnesota 	5560 	17 	2005-01-08
Brau Brothers Brau Light 	American Lager/Ale or Cream Ale 	United States - Minnesota 	5613 	18 	2005-04-06
Taylor's Crossing Baden Powell Cream Ale 	American Lager/Ale or Cream Ale 	Canada - British Columbia 	6077 	15 	2006-09-19
Big Ridge #17 Cream Ale 	American Lager/Ale or Cream Ale 	Canada - British Columbia 	6101 	13½ 	2006-09-21
Copper Creek Cream Ale 	American Lager/Ale or Cream Ale 	United States - Georgia 	6867 	18 	2008-02-02
Miller (Milwaukee) Hamm's 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	7229 	15½ 	2008-07-30
Miller (Milwaukee) Hamm's 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	8800 	16½ 	2012-05-13
Galena Farmer's Cream Ale 	American Lager/Ale or Cream Ale 	United States - Illinois 	8531 	17 	2011-04-28
Hydro Street Columbus Cream Ale 	American Lager/Ale or Cream Ale 	United States - Wisconsin 	9061 	14½ 	2013-04-28
Ploughshare Farm Boy Cream Ale 	American Lager/Ale or Cream Ale 	United States - Nebraska 	9607 	16½ 	2016-07-30
Stone Cali-Belgique IPA 	American-Belgo-Style Ale 	United States - California 	9208 	19½ 	2013-06-26
Green Flash Le Freak 	American-Belgo-Style Ale 	United States - California 	8707 	17 	2012-01-27
Boulevard Tank 7 Farmhouse Ale 	American-Belgo-Style Ale 	United States - Missouri 	7847 	17 	2009-07-16
Bruery Mischief 	American-Belgo-Style Ale 	United States - California 	9206 	17 	2013-06-12
Stillwater Stateside Saison 	American-Belgo-Style Ale 	United States - Maryland 	9768 	17 	2017-07-23
Ale Asylum Bedlam! 	American-Belgo-Style Ale 	United States - Wisconsin 	9310 	18 	2013-12-05
Perennial Hommel Bier 	American-Belgo-Style Ale 	United States - Missouri 	9132 	17 	2013-06-02
Boulevard Collaboration #2 White IPA 	American-Belgo-Style Ale 	United States - Missouri 	8657 	18 	2011-10-22
Modern Monks Belgian IPA 	American-Belgo-Style Ale 	United States - Nebraska 	8685 	16 	2011-12-07
Crabtree Eclipse Black IPA 	American-Belgo-Style Ale 	United States - Colorado 	8709 	14 	2012-01-16
Green Flash Rayon Vert 	American-Belgo-Style Ale 	United States - California 	8714 	18 	2012-01-26
River North Hypothesis 	American-Belgo-Style Ale 	United States - Colorado 	9000 	18 	2012-12-31
Sierra Nevada Balgian Blonde IPA 	American-Belgo-Style Ale 	United States - California 	9060 	16 	2013-04-25
BuckleDown Fiddlesticks 	American-Belgo-Style Ale 	United States - Illinois 	9153 	16 	2013-06-08
Lucky Bucket Beyond the Pail 	American-Belgo-Style Ale 	United States - Nebraska 	9336 	13½ 	2014-02-07
St-Feuillien Dry-Hopped Saison 	American-Belgo-Style Ale 	Belgium - Hainaut 	9440 	18½ 	2014-06-19
Victory Wild Devil Ale 	American-Belgo-Style Ale 	United States - Pennsylvania 	9554 	20 	2015-12-25
Odell Perle White IPA 	American-Belgo-Style Ale 	United States - Colorado 	9454 	18 	2014-07-19
Scriptown Belgian Curve Pale Ale 	American-Belgo-Style Ale 	United States - Nebraska 	9716 	16½ 	2017-03-07
Farnam House Belgian IPA 	American-Belgo-Style Ale 	United States - Nebraska 	9481 	17 	2015-01-18
New Albanian (Bank Street) Naughty Girl 	American-Belgo-Style Ale 	United States - Indiana 	9646 	14½ 	2016-08-25
Crane Farmhouse IPA 	American-Belgo-Style Ale 	United States - Missouri 	9691 	18½ 	2017-02-18
Surly Unbridled Brett IPA 	American-Belgo-Style Ale 	United States - Minnesota 	9721 	17½ 	2017-03-31
Prairie Artisan Standard 	American-Belgo-Style Ale 	United States - Oklahoma 	9793 	18 	2017-12-31
Tied House (San Jose) Amber Light 	American-Style "Light" Amber Lager 	United States - California 	6492 	18 	2007-04-01
Mountain Sun Colorado Kind Ale 	American-Style (Extra Special) Strong Bitter 	United States - Colorado 	449 	15 	1994-10-20
Stone Pale Ale 	American-Style (Extra Special) Strong Bitter 	United States - California 	3580 	14 	2000-10-05
Stone Pale Ale 	American-Style (Extra Special) Strong Bitter 	United States - California 	3903 	14½ 	2001-09-29
Stone Pale Ale 	American-Style (Extra Special) Strong Bitter 	United States - California 	5314 	16½ 	2004-04-14
Goose Island Harvest Ale 	American-Style (Extra Special) Strong Bitter 	United States - Illinois 	8122 	16½ 	2010-01-28
